train_loss,train_score,val_loss,val_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.8610442503756853,0.17074885964393616,0.6724816298484803,0.23038215935230255,379.9995958805084,False,,,1,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_10-30-28,1675416628,379.9995958805084,743972,carabbaggio,155.185.48.240,379.9995958805084,0,1,0.003743410110473633
0.5829423465905115,0.3207228481769562,0.4653865098953247,0.34301868081092834,358.2149200439453,False,,,2,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_10-36-27,1675416987,738.2145159244537,743972,carabbaggio,155.185.48.240,738.2145159244537,0,2,0.003743410110473633
0.3863187667570616,0.3371393084526062,0.2884150632619858,0.3953922986984253,364.231458902359,False,,,3,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_10-42-31,1675417351,1102.4459748268127,743972,carabbaggio,155.185.48.240,1102.4459748268127,0,3,0.003743410110473633
0.25394987718733414,0.40626344084739685,0.196466295838356,0.46868661046028137,368.9316792488098,False,,,4,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_10-48-40,1675417720,1471.3776540756226,743972,carabbaggio,155.185.48.240,1471.3776540756226,0,4,0.003743410110473633
0.1798134281235094,0.5126178860664368,0.15060526674985886,0.548599123954773,380.22412633895874,False,,,5,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_10-55-00,1675418100,1851.6017804145813,743972,carabbaggio,155.185.48.240,1851.6017804145813,0,5,0.003743410110473633
0.13935376849465317,0.5631201863288879,0.13354959231615066,0.5763248205184937,360.30198192596436,False,,,6,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_11-01-00,1675418460,2211.9037623405457,743972,carabbaggio,155.185.48.240,2211.9037623405457,0,6,0.003743410110473633
0.11354413611620962,0.600775957107544,0.10296107918024062,0.6064239740371704,350.78426575660706,False,,,7,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_11-06-51,1675418811,2562.6880280971527,743972,carabbaggio,155.185.48.240,2562.6880280971527,0,7,0.003743410110473633
0.09649607369604694,0.636377215385437,0.09515276083350181,0.6682776212692261,361.27500796318054,False,,,8,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_11-12-52,1675419172,2923.9630360603333,743972,carabbaggio,155.185.48.240,2923.9630360603333,0,8,0.003743410110473633
0.08514998704301005,0.6539438366889954,0.09104706558585167,0.6873000860214233,353.25656628608704,False,,,9,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_11-18-46,1675419526,3277.2196023464203,743972,carabbaggio,155.185.48.240,3277.2196023464203,0,9,0.003743410110473633
0.07429642215169766,0.6721308827400208,0.08191456930339336,0.662988543510437,354.30385661125183,False,,,10,8d934_00010,42713375e05a448ca7a1f510d8a98c71,2023-02-03_11-24-40,1675419880,3631.523458957672,743972,carabbaggio,155.185.48.240,3631.523458957672,0,10,0.003743410110473633
