train_loss,train_score,val_loss,val_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.5078108412587744,0.35807687044143677,0.3797734994736929,0.39365801215171814,272.93326354026794,False,,,1,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-05-38,1675389938,272.93326354026794,18976,lenovo-notebook,127.0.0.1,272.93326354026794,0,1,0.015413999557495117
0.2986850089836664,0.45141226053237915,0.28464876990469673,0.4803919196128845,267.06824374198914,False,,,2,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-10-05,1675390205,540.0015072822571,18976,lenovo-notebook,127.0.0.1,540.0015072822571,0,2,0.015413999557495117
0.23607768559897388,0.5055965781211853,0.2455892889272599,0.5300154685974121,266.31962728500366,False,,,3,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-14-31,1675390471,806.3211345672607,18976,lenovo-notebook,127.0.0.1,806.3211345672607,0,3,0.015413999557495117
0.20080783307297617,0.5412582159042358,0.19420962437750802,0.5587674379348755,265.5481984615326,False,,,4,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-18-57,1675390737,1071.8693330287933,18976,lenovo-notebook,127.0.0.1,1071.8693330287933,0,4,0.015413999557495117
0.17491034507496744,0.5636116862297058,0.17860061959141776,0.5923938155174255,263.4225506782532,False,,,5,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-23-20,1675391000,1335.2918837070465,18976,lenovo-notebook,127.0.0.1,1335.2918837070465,0,5,0.015413999557495117
0.1620637981003506,0.579091489315033,0.1533299825257725,0.5979844927787781,264.84437346458435,False,,,6,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-27-45,1675391265,1600.1362571716309,18976,lenovo-notebook,127.0.0.1,1600.1362571716309,0,6,0.015413999557495117
0.15254520395627388,0.5910475254058838,0.15633358155924176,0.5905432105064392,265.08154559135437,False,,,7,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-32-10,1675391530,1865.2178027629852,18976,lenovo-notebook,127.0.0.1,1865.2178027629852,0,7,0.015413999557495117
0.15302907754043568,0.5933205485343933,0.13994541551385606,0.6104350686073303,264.8592252731323,False,,,8,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-36-35,1675391795,2130.0770280361176,18976,lenovo-notebook,127.0.0.1,2130.0770280361176,0,8,0.015413999557495117
0.1342247102377761,0.6102014183998108,0.15751488483141338,0.5954489707946777,265.4937193393707,False,,,9,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-41-01,1675392061,2395.5707473754883,18976,lenovo-notebook,127.0.0.1,2395.5707473754883,0,9,0.015413999557495117
0.12988849612552555,0.6157374382019043,0.1422615143514815,0.6174828410148621,265.63122940063477,False,,,10,99b0e_00000,04e97dcbfe7f4eeaa0ea3d64b5d4514b,2023-02-03_03-45-26,1675392326,2661.201976776123,18976,lenovo-notebook,127.0.0.1,2661.201976776123,0,10,0.015413999557495117
