train_loss,train_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.731562349283133,0.2863992750644684,424.81649112701416,False,,,1,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_20-56-28,1675457788,424.81649112701416,103716,81b7dd2326f6,172.28.0.12,424.81649112701416,0,1,0.0036993026733398438
0.3425860589475989,0.37138307094573975,423.3634920120239,False,,,2,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-03-32,1675458212,848.1799831390381,103716,81b7dd2326f6,172.28.0.12,848.1799831390381,0,2,0.0036993026733398438
0.2174914052131098,0.49977967143058777,423.93463921546936,False,,,3,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-10-36,1675458636,1272.1146223545074,103716,81b7dd2326f6,172.28.0.12,1272.1146223545074,0,3,0.0036993026733398438
0.16002928630472527,0.555750846862793,423.1614725589752,False,,,4,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-17-39,1675459059,1695.2760949134827,103716,81b7dd2326f6,172.28.0.12,1695.2760949134827,0,4,0.0036993026733398438
0.12763258107592146,0.6116988062858582,422.15532088279724,False,,,5,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-24-41,1675459481,2117.43141579628,103716,81b7dd2326f6,172.28.0.12,2117.43141579628,0,5,0.0036993026733398438
0.10562132695349702,0.6387225389480591,423.1361162662506,False,,,6,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-31-44,1675459904,2540.5675320625305,103716,81b7dd2326f6,172.28.0.12,2540.5675320625305,0,6,0.0036993026733398438
0.09317389009869517,0.656296968460083,418.8962812423706,False,,,7,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-38-43,1675460323,2959.463813304901,103716,81b7dd2326f6,172.28.0.12,2959.463813304901,0,7,0.0036993026733398438
0.08233795382145527,0.6706910729408264,428.74574422836304,False,,,8,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-45-52,1675460752,3388.209557533264,103716,81b7dd2326f6,172.28.0.12,3388.209557533264,0,8,0.0036993026733398438
0.0749697907205036,0.6831686496734619,434.09350085258484,False,,,9,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_21-53-06,1675461186,3822.303058385849,103716,81b7dd2326f6,172.28.0.12,3822.303058385849,0,9,0.0036993026733398438
0.06856400631548344,0.6924731731414795,431.27366971969604,False,,,10,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-00-17,1675461617,4253.576728105545,103716,81b7dd2326f6,172.28.0.12,4253.576728105545,0,10,0.0036993026733398438
0.06355463914762385,0.7006862163543701,433.4681544303894,False,,,11,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-07-31,1675462051,4687.044882535934,103716,81b7dd2326f6,172.28.0.12,4687.044882535934,0,11,0.0036993026733398438
0.05982500239260756,0.7053163647651672,433.48511695861816,False,,,12,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-14-44,1675462484,5120.529999494553,103716,81b7dd2326f6,172.28.0.12,5120.529999494553,0,12,0.0036993026733398438
0.05578737443779227,0.7118882536888123,437.09354043006897,False,,,13,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-22-01,1675462921,5557.623539924622,103716,81b7dd2326f6,172.28.0.12,5557.623539924622,0,13,0.0036993026733398438
0.05115208649352427,0.7192844152450562,441.27805256843567,False,,,14,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-29-23,1675463363,5998.901592493057,103716,81b7dd2326f6,172.28.0.12,5998.901592493057,0,14,0.0036993026733398438
0.04774738684918241,0.725029468536377,441.2191162109375,False,,,15,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-36-44,1675463804,6440.120708703995,103716,81b7dd2326f6,172.28.0.12,6440.120708703995,0,15,0.0036993026733398438
0.045352907795031094,0.7299730181694031,437.44731760025024,False,,,16,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-44-01,1675464241,6877.568026304245,103716,81b7dd2326f6,172.28.0.12,6877.568026304245,0,16,0.0036993026733398438
0.04301531007569711,0.7336124181747437,430.155246257782,False,,,17,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-51-11,1675464671,7307.723272562027,103716,81b7dd2326f6,172.28.0.12,7307.723272562027,0,17,0.0036993026733398438
0.039688989395070755,0.7390836477279663,430.7088062763214,False,,,18,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_22-58-22,1675465102,7738.432078838348,103716,81b7dd2326f6,172.28.0.12,7738.432078838348,0,18,0.0036993026733398438
0.03795767659175028,0.7424498796463013,431.6459496021271,False,,,19,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_23-05-34,1675465534,8170.0780284404755,103716,81b7dd2326f6,172.28.0.12,8170.0780284404755,0,19,0.0036993026733398438
0.03501073356510614,0.7480557560920715,433.33634877204895,False,,,20,38d98_00000,9afa47d003cc477eb88a67be546bf89a,2023-02-03_23-12-47,1675465967,8603.414377212524,103716,81b7dd2326f6,172.28.0.12,8603.414377212524,0,20,0.0036993026733398438
