train_loss,train_score,val_loss,val_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.7291176857432069,0.3312489688396454,0.7325350282684205,0.33175963163375854,483.00889801979065,False,,,1,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_00-44-57,1675295097,483.00889801979065,3908751,vegeta,155.185.49.147,483.00889801979065,0,1,0.0046405792236328125
0.5959723145194203,0.3550640344619751,0.5512980184857807,0.367969274520874,356.45777463912964,False,,,2,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_00-50-53,1675295453,839.4666726589203,3908751,vegeta,155.185.49.147,839.4666726589203,0,2,0.0046405792236328125
0.4983796791473345,0.36537256836891174,0.4361139356143891,0.36959707736968994,356.8599097728729,False,,,3,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_00-56-50,1675295810,1196.3265824317932,3908751,vegeta,155.185.49.147,1196.3265824317932,0,3,0.0046405792236328125
0.4040711476252629,0.35980358719825745,0.46163990005614264,0.30410969257354736,369.0212781429291,False,,,4,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-02-59,1675296179,1565.3478605747223,3908751,vegeta,155.185.49.147,1565.3478605747223,0,4,0.0046405792236328125
0.32971114900886506,0.37559399008750916,0.28189897868368363,0.43076092004776,357.2978661060333,False,,,5,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-08-57,1675296537,1922.6457266807556,3908751,vegeta,155.185.49.147,1922.6457266807556,0,5,0.0046405792236328125
0.27357323331880434,0.4058710038661957,0.24112579250146474,0.4718219041824341,370.5436911582947,False,,,6,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-15-07,1675296907,2293.1894178390503,3908751,vegeta,155.185.49.147,2293.1894178390503,0,6,0.0046405792236328125
0.2283402419412917,0.44304683804512024,0.21263404261498225,0.43574410676956177,372.0011718273163,False,,,7,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-21-19,1675297279,2665.1905896663666,3908751,vegeta,155.185.49.147,2665.1905896663666,0,7,0.0046405792236328125
0.20167206688399328,0.4726604223251343,0.1910523059112685,0.4937646985054016,357.334255695343,False,,,8,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-27-16,1675297636,3022.5248453617096,3908751,vegeta,155.185.49.147,3022.5248453617096,0,8,0.0046405792236328125
0.1738403807593207,0.5102242827415466,0.1796048167679045,0.5379882454872131,355.96444392204285,False,,,9,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-33-12,1675297992,3378.4892892837524,3908751,vegeta,155.185.49.147,3378.4892892837524,0,9,0.0046405792236328125
0.15054559875332732,0.5443958044052124,0.1713550920997347,0.5110995173454285,354.9770040512085,False,,,10,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-39-07,1675298347,3733.466293334961,3908751,vegeta,155.185.49.147,3733.466293334961,0,10,0.0046405792236328125
0.13552891649836488,0.5689511299133301,0.15225137971223346,0.5755636692047119,353.36598539352417,False,,,11,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-45-01,1675298701,4086.832278728485,3908751,vegeta,155.185.49.147,4086.832278728485,0,11,0.0046405792236328125
0.12431079926144363,0.5906054377555847,0.1425279766794235,0.58916836977005,361.2665596008301,False,,,12,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-51-02,1675299062,4448.098838329315,3908751,vegeta,155.185.49.147,4448.098838329315,0,12,0.0046405792236328125
0.1105849269533429,0.6105011105537415,0.13797909807827738,0.6119661331176758,367.3595073223114,False,,,13,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_01-57-09,1675299429,4815.458345651627,3908751,vegeta,155.185.49.147,4815.458345651627,0,13,0.0046405792236328125
0.10140646220399784,0.6283113956451416,0.14073095021266785,0.5678979158401489,352.95678544044495,False,,,14,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_02-03-02,1675299782,5168.4151310920715,3908751,vegeta,155.185.49.147,5168.4151310920715,0,14,0.0046405792236328125
0.09044087016981552,0.6408518552780151,0.1295652791029877,0.6463743448257446,371.7089524269104,False,,,15,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_02-09-14,1675300154,5540.124083518982,3908751,vegeta,155.185.49.147,5540.124083518982,0,15,0.0046405792236328125
0.08563412334292363,0.6538335084915161,0.12811746602020566,0.6408502459526062,354.8228485584259,False,,,16,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_02-15-09,1675300509,5894.946932077408,3908751,vegeta,155.185.49.147,5894.946932077408,0,16,0.0046405792236328125
0.07799913673701449,0.6639098525047302,0.1260729723624767,0.6628760695457458,354.9856095314026,False,,,17,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_02-21-04,1675300864,6249.93254160881,3908751,vegeta,155.185.49.147,6249.93254160881,0,17,0.0046405792236328125
0.07687854988664983,0.6712803244590759,0.13424830440254437,0.6410238146781921,357.41856145858765,False,,,18,48429_00000,d11e091b4c214e72be4dd18a12abf303,2023-02-02_02-27-01,1675301221,6607.351103067398,3908751,vegeta,155.185.49.147,6607.351103067398,0,18,0.0046405792236328125
