train_loss,train_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.7251141063031147,0.2573316991329193,415.3788001537323,False,,,1,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_06-32-55,1674970375,415.3788001537323,1846251,carabbaggio,155.185.48.240,415.3788001537323,0,1,0.0027570724487304688
0.4121609819014675,0.40987706184387207,330.6667022705078,False,,,2,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_06-38-25,1674970705,746.0455024242401,1846251,carabbaggio,155.185.48.240,746.0455024242401,0,2,0.0027570724487304688
0.26397309824373877,0.48106226325035095,332.50727677345276,False,,,3,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_06-43-58,1674971038,1078.5527791976929,1846251,carabbaggio,155.185.48.240,1078.5527791976929,0,3,0.0027570724487304688
0.18635893636523884,0.5268160700798035,339.8763566017151,False,,,4,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_06-49-38,1674971378,1418.429135799408,1846251,carabbaggio,155.185.48.240,1418.429135799408,0,4,0.0027570724487304688
0.14614184398965363,0.568041205406189,336.1434164047241,False,,,5,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_06-55-14,1674971714,1754.572552204132,1846251,carabbaggio,155.185.48.240,1754.572552204132,0,5,0.0027570724487304688
0.11695458108002935,0.6366108655929565,337.26503705978394,False,,,6,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-00-51,1674972051,2091.837589263916,1846251,carabbaggio,155.185.48.240,2091.837589263916,0,6,0.0027570724487304688
0.10268920522629134,0.6574463248252869,333.20401096343994,False,,,7,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-06-24,1674972384,2425.041600227356,1846251,carabbaggio,155.185.48.240,2425.041600227356,0,7,0.0027570724487304688
0.08682219831874322,0.6789461970329285,331.29677391052246,False,,,8,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-11-56,1674972716,2756.3383741378784,1846251,carabbaggio,155.185.48.240,2756.3383741378784,0,8,0.0027570724487304688
0.0780400913771796,0.6934992074966431,333.0928490161896,False,,,9,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-17-29,1674973049,3089.431223154068,1846251,carabbaggio,155.185.48.240,3089.431223154068,0,9,0.0027570724487304688
0.07016789068117683,0.7037706971168518,328.2824432849884,False,,,10,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-22-57,1674973377,3417.7136664390564,1846251,carabbaggio,155.185.48.240,3417.7136664390564,0,10,0.0027570724487304688
0.06493831991005189,0.7126968502998352,330.8869700431824,False,,,11,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-28-28,1674973708,3748.6006364822388,1846251,carabbaggio,155.185.48.240,3748.6006364822388,0,11,0.0027570724487304688
0.059716473564397465,0.7192559242248535,328.4927830696106,False,,,12,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-33-56,1674974036,4077.0934195518494,1846251,carabbaggio,155.185.48.240,4077.0934195518494,0,12,0.0027570724487304688
0.05330570836967035,0.7296550273895264,329.7198214530945,False,,,13,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-39-26,1674974366,4406.813241004944,1846251,carabbaggio,155.185.48.240,4406.813241004944,0,13,0.0027570724487304688
0.05213964394909727,0.7320534586906433,331.10245275497437,False,,,14,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-44-57,1674974697,4737.915693759918,1846251,carabbaggio,155.185.48.240,4737.915693759918,0,14,0.0027570724487304688
0.04721066971932242,0.737745463848114,331.1534049510956,False,,,15,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-50-28,1674975028,5069.069098711014,1846251,carabbaggio,155.185.48.240,5069.069098711014,0,15,0.0027570724487304688
0.04368474465561749,0.7452317476272583,329.07555413246155,False,,,16,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_07-55-57,1674975357,5398.144652843475,1846251,carabbaggio,155.185.48.240,5398.144652843475,0,16,0.0027570724487304688
0.04010323205221773,0.7502535581588745,328.2873659133911,False,,,17,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_08-01-26,1674975686,5726.4320187568665,1846251,carabbaggio,155.185.48.240,5726.4320187568665,0,17,0.0027570724487304688
0.037524696395584936,0.7554065585136414,329.07077193260193,False,,,18,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_08-06-55,1674976015,6055.502790689468,1846251,carabbaggio,155.185.48.240,6055.502790689468,0,18,0.0027570724487304688
0.036266839680145914,0.7580750584602356,328.44657349586487,False,,,19,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_08-12-23,1674976343,6383.949364185333,1846251,carabbaggio,155.185.48.240,6383.949364185333,0,19,0.0027570724487304688
0.03462416314471518,0.7616932392120361,328.08050179481506,False,,,20,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_08-17-51,1674976671,6712.029865980148,1846251,carabbaggio,155.185.48.240,6712.029865980148,0,20,0.0027570724487304688
0.03240771974890776,0.7654424905776978,329.19571137428284,False,,,21,66c41_00000,36ae6fbe8f334422893564bc731b5005,2023-01-29_08-23-20,1674977000,7041.225577354431,1846251,carabbaggio,155.185.48.240,7041.225577354431,0,21,0.0027570724487304688
